    99   0.249737E+04   0.709562E+00  -0.210056E+02   0.467433E+07   0.654301E+04
   100   0.252620E+04   0.723348E+00  -0.216217E+02   0.464585E+07   0.646531E+04
   101   0.255523E+04   0.736991E+00  -0.222385E+02   0.461752E+07   0.638847E+04
   102   0.258446E+04   0.750473E+00  -0.228556E+02   0.458932E+07   0.631253E+04
   103   0.261388E+04   0.763799E+00  -0.234723E+02   0.456127E+07   0.623749E+04
   104   0.264350E+04   0.776942E+00  -0.240884E+02   0.453337E+07   0.616336E+04
   105   0.267329E+04   0.789898E+00  -0.247035E+02   0.450562E+07   0.609017E+04
   106   0.270327E+04   0.802656E+00  -0.253169E+02   0.447802E+07   0.601793E+04
   107   0.273341E+04   0.815214E+00  -0.259283E+02   0.445058E+07   0.594665E+04
   108   0.276371E+04   0.827551E+00  -0.265372E+02   0.442330E+07   0.587635E+04
   109   0.279418E+04   0.839665E+00  -0.271431E+02   0.439619E+07   0.580705E+04
   110   0.282480E+04   0.851536E+00  -0.277456E+02   0.436924E+07   0.573876E+04
   111   0.285556E+04   0.863162E+00  -0.283443E+02   0.434246E+07   0.567149E+04
   112   0.288646E+04   0.874533E+00  -0.289385E+02   0.431585E+07   0.560526E+04
   113   0.291750E+04   0.885629E+00  -0.295279E+02   0.428942E+07   0.554007E+04
   114   0.294867E+04   0.896433E+00  -0.301118E+02   0.426315E+07   0.547593E+04
   115   0.297995E+04   0.906946E+00  -0.306896E+02   0.423706E+07   0.541286E+04
   116   0.301136E+04   0.917152E+00  -0.312610E+02   0.421114E+07   0.535085E+04
   117   0.304288E+04   0.927028E+00  -0.318252E+02   0.418539E+07   0.528992E+04
   118   0.307450E+04   0.936575E+00  -0.323818E+02   0.415982E+07   0.523007E+04
   119   0.310621E+04   0.945777E+00  -0.329303E+02   0.413442E+07   0.517132E+04
   120   0.313802E+04   0.954627E+00  -0.334702E+02   0.410919E+07   0.511367E+04
   121   0.316990E+04   0.963109E+00  -0.340008E+02   0.408414E+07   0.505713E+04
   122   0.320186E+04   0.971216E+00  -0.345217E+02   0.405926E+07   0.500170E+04
   123   0.323388E+04   0.978939E+00  -0.350324E+02   0.403456E+07   0.494741E+04
   124   0.326595E+04   0.986264E+00  -0.355323E+02   0.401004E+07   0.489425E+04
   125   0.329807E+04   0.993190E+00  -0.360209E+02   0.398569E+07   0.484223E+04
   126   0.333024E+04   0.999703E+00  -0.364978E+02   0.396153E+07   0.479136E+04
   127   0.336243E+04   0.100580E+01  -0.369624E+02   0.393754E+07   0.474165E+04
   128   0.339464E+04   0.101147E+01  -0.374142E+02   0.391372E+07   0.469311E+04
   129   0.342687E+04   0.101671E+01  -0.378527E+02   0.389009E+07   0.464575E+04
   130   0.345911E+04   0.102151E+01  -0.382774E+02   0.386664E+07   0.459957E+04
   131   0.349134E+04   0.102585E+01  -0.386879E+02   0.384336E+07   0.455457E+04
   132   0.352356E+04   0.102976E+01  -0.390836E+02   0.382026E+07   0.451071E+04
   133   0.355576E+04   0.103320E+01  -0.394642E+02   0.379735E+07   0.446793E+04
   134   0.358795E+04   0.103620E+01  -0.398290E+02   0.377461E+07   0.442618E+04
   135   0.362010E+04   0.103874E+01  -0.401778E+02   0.375204E+07   0.438539E+04
   136   0.365221E+04   0.104081E+01  -0.405099E+02   0.372965E+07   0.434552E+04
   137   0.368429E+04   0.104241E+01  -0.408250E+02   0.370743E+07   0.430650E+04
   138   0.371631E+04   0.104355E+01  -0.411227E+02   0.368539E+07   0.426829E+04
   139   0.374826E+04   0.104423E+01  -0.414025E+02   0.366351E+07   0.423082E+04
   140   0.378016E+04   0.104443E+01  -0.416641E+02   0.364181E+07   0.419404E+04
   141   0.381199E+04   0.104419E+01  -0.419070E+02   0.362027E+07   0.415789E+04
   142   0.384373E+04   0.104347E+01  -0.421309E+02   0.359891E+07   0.412232E+04
   143   0.387539E+04   0.104230E+01  -0.423355E+02   0.357771E+07   0.408727E+04
   144   0.390695E+04   0.104067E+01  -0.425202E+02   0.355667E+07   0.405268E+04
   145   0.393841E+04   0.103857E+01  -0.426847E+02   0.353580E+07   0.401851E+04
   146   0.396974E+04   0.103604E+01  -0.428287E+02   0.351510E+07   0.398468E+04
   147   0.400094E+04   0.103306E+01  -0.429516E+02   0.349455E+07   0.395115E+04
   148   0.403199E+04   0.102964E+01  -0.430533E+02   0.347417E+07   0.391787E+04
   149   0.406288E+04   0.102580E+01  -0.431332E+02   0.345395E+07   0.388477E+04
   150   0.409359E+04   0.102152E+01  -0.431910E+02   0.343389E+07   0.385180E+04
   151   0.412412E+04   0.101683E+01  -0.432263E+02   0.341399E+07   0.381891E+04
   152   0.415445E+04   0.101173E+01  -0.432390E+02   0.339424E+07   0.378610E+04
   153   0.418458E+04   0.100623E+01  -0.432287E+02   0.337465E+07   0.375340E+04
   154   0.421451E+04   0.100035E+01  -0.431953E+02   0.335522E+07   0.372080E+04
   155   0.424424E+04   0.994089E+00  -0.431384E+02   0.333594E+07   0.368833E+04
